"id","nama_produk","harga","harga_diskon","slug","deskripsi","gambar","label","kategori"
1,Kaos Adidas Sport Pro - Biru,12.0,12.0,kaos_adidas_biru,"Hadirkan gaya dan kenyamanan dalam setiap langkah Anda dengan kaos Adidas yang dirancang khusus untuk olahraga. Dibuat dengan bahan berkualitas tinggi dan teknologi terkini, kaos ini memberikan performa optimal saat Anda beraktivitas. Dengan desain trendy dan fitur fungsional, kaos Adidas menjadi pilihan sempurna bagi para atlet dan pecinta olahraga. Temukan kaos Adidas yang cocok untuk Anda dengan harga range medium hingga premium. Dapatkan kombinasi performa, gaya, dan kenyamanan dalam satu produk untuk meraih prestasi terbaik dalam setiap latihan dan kompetisi.",product_pics/adidas_1.png,BEST,SW
6,Jaket Hoodie Merah,118.0,118.0,jaket_merah,"Jaket merah adalah pilihan yang sempurna untuk menunjukkan keberanian dan kepercayaan diri dalam gaya berpakaian. Jaket ini memberikan sentuhan yang memikat dan energik pada penampilan Anda. Terbuat dari bahan berkualitas tinggi, jaket merah kami menawarkan kenyamanan dan gaya yang tak tertandingi. Tingkatkan gaya Anda dengan Jaket Merah kami yang trendi dan mencerminkan kepribadian Anda yang berani. Tampilkan keberanian dan kepercayaan diri Anda dalam gaya fashion yang memukau!",product_pics/jaket-merah.jpg,BEST,OW
3,Baju Denim Biru - Gaya Kasual yang Trendi!,115.0,110.0,baju_denim_biru,"Baju denim biru merupakan pilihan sempurna untuk gaya kasual yang tak pernah ketinggalan zaman. Desainnya yang modern dan nyaman dipakai membuatnya cocok untuk berbagai kesempatan. Terbuat dari bahan berkualitas tinggi, baju denim biru kami memberikan kenyamanan dan kepercayaan diri dalam berpenampilan.",product_pics/baju-denim-biru.jpg,SALE,OW
2,Kaos Panjang Abu Abu,15.0,15.0,kaos_panjang_abu_abu,"Hadirkan gaya dan kenyamanan dalam setiap langkah Anda dengan kaos Adidas yang dirancang khusus untuk olahraga. Dibuat dengan bahan berkualitas tinggi dan teknologi terkini, kaos ini memberikan performa optimal saat Anda beraktivitas. Dengan desain trendy dan fitur fungsional, kaos Adidas menjadi pilihan sempurna bagi para atlet dan pecinta olahraga. Temukan kaos Adidas yang cocok untuk Anda dengan harga range medium hingga premium. Dapatkan kombinasi performa, gaya, dan kenyamanan dalam satu produk untuk meraih prestasi terbaik dalam setiap latihan dan kompetisi.",product_pics/kaos-abu.jpg,BEST,S
10,Kaos Pendek Merah,12.0,12.0,kaos_pendek_merah,"Hadirkan gaya dan kenyamanan dalam setiap langkah Anda dengan kaos Adidas yang dirancang khusus untuk olahraga. Dibuat dengan bahan berkualitas tinggi dan teknologi terkini, kaos ini memberikan performa optimal saat Anda beraktivitas. Dengan desain trendy dan fitur fungsional, kaos Adidas menjadi pilihan sempurna bagi para atlet dan pecinta olahraga. Temukan kaos Adidas yang cocok untuk Anda dengan harga range medium hingga premium. Dapatkan kombinasi performa, gaya, dan kenyamanan dalam satu produk untuk meraih prestasi terbaik dalam setiap latihan dan kompetisi.",product_pics/kaos-merah.png,BEST,S
4,Jaket Jeans Hitam,120.0,120.0,jaket_jean_hitam,"Jaket jeans hitam merupakan salah satu item fashion yang wajib dimiliki untuk gaya yang keren dan edgy. Desainnya yang timeless dan serbaguna membuatnya cocok untuk berbagai kesempatan. Terbuat dari bahan denim berkualitas tinggi, jaket jeans hitam kami memberikan tampilan yang stylish dan nyaman.",product_pics/jaket-jean-hitam.jpg,NEW,OW
11,Kaos Pendek Putih,12.0,10.0,kaos_pendek_putih,"Hadirkan gaya dan kenyamanan dalam setiap langkah Anda dengan kaos Adidas yang dirancang khusus untuk olahraga. Dibuat dengan bahan berkualitas tinggi dan teknologi terkini, kaos ini memberikan performa optimal saat Anda beraktivitas. Dengan desain trendy dan fitur fungsional, kaos Adidas menjadi pilihan sempurna bagi para atlet dan pecinta olahraga. Temukan kaos Adidas yang cocok untuk Anda dengan harga range medium hingga premium. Dapatkan kombinasi performa, gaya, dan kenyamanan dalam satu produk untuk meraih prestasi terbaik dalam setiap latihan dan kompetisi.",product_pics/kaos-putih_1.png,SALE,SW
7,Jean Trendy,50.0,48.0,jean_trendy,"Tampilkan gaya klasik yang tak pernah ketinggalan dengan celana jean kami. Celana jean merupakan pilihan yang sempurna untuk tampilan yang stylish dan kasual sehari-hari. Dibuat dengan kualitas yang tinggi dan desain yang trendi, celana jean kami memberikan kenyamanan dan kepercayaan diri yang Anda butuhkan.",product_pics/jean.jpg,SALE,OW
8,Jean Vintage,100.0,100.0,jean_vintage,"Dapatkan celana jean dengan berbagai model dan warna yang sesuai dengan selera Anda. Dari potongan slim fit hingga straight leg, kami menawarkan variasi gaya yang cocok untuk berbagai kesempatan. Tersedia pula berbagai ukuran yang memastikan celana jean kami pas dan nyaman untuk Anda.",product_pics/jean2.jpg,NEW,OW
9,Kaos Pajang Hijau,15.0,15.0,kaos_panjang_abu,"Hadirkan gaya dan kenyamanan dalam setiap langkah Anda dengan kaos Adidas yang dirancang khusus untuk olahraga. Dibuat dengan bahan berkualitas tinggi dan teknologi terkini, kaos ini memberikan performa optimal saat Anda beraktivitas. Dengan desain trendy dan fitur fungsional, kaos Adidas menjadi pilihan sempurna bagi para atlet dan pecinta olahraga. Temukan kaos Adidas yang cocok untuk Anda dengan harga range medium hingga premium. Dapatkan kombinasi performa, gaya, dan kenyamanan dalam satu produk untuk meraih prestasi terbaik dalam setiap latihan dan kompetisi.",product_pics/kaos-hijau.png,NEW,SW
13,Kaos Pendek Kasual,10.0,9.0,kaos_pendek_kasual,"Hadirkan gaya dan kenyamanan dalam setiap langkah Anda dengan kaos Adidas yang dirancang khusus untuk olahraga. Dibuat dengan bahan berkualitas tinggi dan teknologi terkini, kaos ini memberikan performa optimal saat Anda beraktivitas. Dengan desain trendy dan fitur fungsional, kaos Adidas menjadi pilihan sempurna bagi para atlet dan pecinta olahraga. Temukan kaos Adidas yang cocok untuk Anda dengan harga range medium hingga premium. Dapatkan kombinasi performa, gaya, dan kenyamanan dalam satu produk untuk meraih prestasi terbaik dalam setiap latihan dan kompetisi.",product_pics/t-shirt.jpg,SALE,S
12,Kaos Hitam Metal,20.0,20.0,kaos_pendek_hitam,"Hadirkan gaya dan kenyamanan dalam setiap langkah Anda dengan kaos Adidas yang dirancang khusus untuk olahraga. Dibuat dengan bahan berkualitas tinggi dan teknologi terkini, kaos ini memberikan performa optimal saat Anda beraktivitas. Dengan desain trendy dan fitur fungsional, kaos Adidas menjadi pilihan sempurna bagi para atlet dan pecinta olahraga. Temukan kaos Adidas yang cocok untuk Anda dengan harga range medium hingga premium. Dapatkan kombinasi performa, gaya, dan kenyamanan dalam satu produk untuk meraih prestasi terbaik dalam setiap latihan dan kompetisi.",product_pics/man-black.jpg,BEST,S
